LOCATION_NAME,FLAG_TSUNAMI,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,FOCAL_DEPTH,EQ_PRIMARY,MAXIMUM_WATER_HEIGHT, Batyh, DevW5, DevW11, DevW25, DevW75
 SUMATRA:ACEH:OFFWESTCOAST ,0,2005,2,2,-7.037,107.819,15,4.8,50.9,0,0,0,0,663
 PADANG ,0,2005,7,5,1.819,97.082,21,6.7,0.4,175,152,204,541,1389
 PADANG ,0,2005,7,9,-1.174,119.963,32,5.9,0.4,0,0,0,0,1150
 PADANG ,0,2005,7,18,-9.948,124.48,10,5.3,0.4,0,0,0,0,1644
 PADANG ,0,2006,1,27,-5.473,128.131,397,7.6,0.4,3684,348,947,2054,3699
 SERAM ,0,2006,3,28,3.462,97.224,30,5,3.5,0,0,0,0,601
 SERAM ,0,2006,5,12,-5.575,105.395,17,5.5,3.5,0,11,63,166,173
 SERAM ,0,2006,5,26,-7.961,110.446,13,6.3,3.5,0,0,0,0,279
 JAVA ,0,2006,11,24,-3.728,119.233,31,5.2,20.9,827,33,107,318,906
 JAVA ,0,2006,11,29,2.52,128.283,39,6.2,20.9,239,160,207,1104,2780
 JAVA ,0,2006,12,1,-8.251,118.777,43,6.3,20.9,318,260,571,1280,2244
 JAVA ,0,2006,12,17,0.626,99.859,30,5.8,20.9,0,0,0,0,0
 JAVA ,0,2007,1,21,1.065,126.282,22,7.5,20.9,1109,296,611,1238,2783
 JAVA ,0,2007,3,6,-0.493,100.498,19,6.4,20.9,0,0,0,435,592
 JAVA ,0,2007,5,29,-1.065,127.343,24,6.1,20.9,940,164,694,2085,3745
 JAVA ,0,2007,7,26,2.872,127.464,25,6.9,20.9,3247,178,381,880,1449
 JAVA ,0,2007,8,8,-5.968,107.655,289,7.5,20.9,8,2,4,7,16
 JAVA ,0,2007,9,9,-7.783,114.338,35,4.8,20.9,0,0,0,66,236
 SUMATRA ,0,2007,9,12,-2.625,100.841,35,7.9,5,969,27,113,399,1242
 SUMATRA ,0,2007,11,25,-8.277,118.339,35,6.5,5,216,189,554,945,1395
 SUMATRA ,0,2008,1,7,-0.795,134.012,12,5.9,5,0,0,105,232,2620
 SUMATRA ,0,2008,1,22,1.011,97.442,20,6.1,5,0,0,0,13,281
 SUMATRA ,0,2008,2,20,2.768,95.964,26,7.4,5,0,0,0,83,1004
 SUMATRA:PADANG ,0,2008,9,9,-3.935,103.058,25,5.4,0.12,0,0,0,0,0
 JAVA ,0,2009,9,18,-9.138,115.593,79,5.7,0.4,2033,80,378,646,2439
 SUMATRA:PADANG ,0,2009,10,1,-2.515,101.501,10,6.6,0.27,0,0,0,0,0
 SUMATRA:PADANG ,0,2009,11,8,-8.207,118.631,18,6.6,0.27,434,152,466,1252,2290
 SUMATRA:PADANG ,0,2010,1,10,-7.907,107.879,65,5.1,0.27,564,333,877,1486,2504
 SUMATRA ,0,2010,5,9,3.748,96.018,38,7.2,0.44,175,205,347,625,920
 SUMATRA ,0,2010,6,16,-2.174,136.543,18,7,0.44,3,1,15,23,147
 SUMATRA ,0,2011,4,24,-4.586,122.771,8,6.1,16.9,16,15,37,62,198
 SUMATRA ,0,2011,9,5,2.965,97.893,91,6.7,16.9,0,0,0,0,62
 SUMATRA ,0,2012,6,4,-7.692,106.371,50,5.8,16.9,2103,374,1033,1878,2873
 SUMATRA ,0,2012,7,25,2.707,96.045,22,6.5,16.9,0,0,0,59,1047
 SUMATRA ,0,2012,8,18,-1.315,120.096,10,6.3,16.9,-977,3,989,1150,1150
 SUMATRA ,0,2013,1,21,4.927,95.907,12,6.1,16.9,0,0,0,0,0
 SUMATRA ,0,2013,6,22,-8.305,116.058,47,5.1,16.9,85,66,337,1095,1546
 SUMATRA ,0,2013,7,2,4.645,96.665,13,6.1,16.9,0,0,0,0,0
 SUMATRA ,0,2013,7,8,-8.803,113.002,60,5.7,16.9,1263,103,268,497,1321
 SUMATRA ,0,2013,10,22,5.103,95.971,10,5.5,16.9,0,0,0,0,17
 SUMATRA ,0,2014,1,25,-7.986,109.265,66,6.1,16.9,83,23,54,77,863
 N.MOLUCCASISLANDS ,0,2015,7,27,-2.629,138.528,48,7,0.09,0,0,0,0,267
 N.MOLUCCASISLANDS ,0,2015,9,24,-0.59,131.27,10,6.6,0.09,1687,103,260,665,2164
 N.MOLUCCASISLANDS ,0,2015,11,4,-8.338,124.875,20,6.5,0.09,0,0,0,1480,3516
 N.MOLUCCASISLANDS ,0,2016,1,16,-3.873,127.229,4,5.6,0.09,0,40,1075,2389,4100
 SUMATRA: ,0,2016,6,1,-2.097,100.665,50,6.6,0.21,232,200,514,820,1436
 SUMATRA: ,0,2016,6,7,1.279,126.371,31,6.3,0.21,1170,1279,2475,2592,2899
 SUMATRA: ,0,2016,7,31,-8.194,117.814,21,5.6,0.21,0,0,0,65,1291
 SUMATRA: ,0,2016,12,6,5.283,96.168,13,6.5,0.21,8,19,32,98,556
 SUMATRA: ,0,2017,3,21,-8.492,115.323,112,5.6,0.21,0,0,0,0,313
 SUMATRA: ,0,2017,5,29,-1.292,120.431,12,6.6,0.21,0,0,0,0,105
 SUMATRA: ,0,2017,10,31,-3.745,127.752,6,6.1,0.21,3737,53,132,486,3952
 SUMATRA: ,0,2017,11,18,2.465,128.148,8,5.8,0.21,132,188,312,760,2473
 SUMATRA: ,0,2017,12,15,-7.492,108.174,90,6.5,0.21,0,0,0,0,0
 SUMATRA: ,0,2018,1,23,-7.196,105.918,44,6,0.21,2211,102,290,570,1566
 SUMATRA: ,0,2018,4,18,-7.21,109.65,4,4.4,0.21,0,0,0,0,231
 SUMATRA: ,0,2018,7,21,-0.965,100.771,10,5.2,0.21,0,0,0,1842,1842
 SUMATRA: ,0,2018,7,28,-8.274,116.491,6,6.4,0.21,0,0,29,321,3736
 LOMBOKISLAND ,0,2018,8,9,-8.394,116.208,10,5.9,0.14,0,0,0,14,1390
 LOMBOKISLAND ,0,2018,8,19,-8.325,116.577,8,6.3,0.14,0,0,0,100,3750
 LOMBOKISLAND ,0,2018,8,19,-8.324,116.626,26,6.9,0.14,0,0,0,120,1470
 SULAWESI ,0,2018,10,10,-7.456,114.453,9,6,10.73,117,5,11,19,320
 SULAWESI ,0,2018,11,14,-2.916,119.435,9,5.6,10.73,0,0,0,0,0
 SULAWESI ,0,2019,2,27,-1.301,101.601,10,5.4,10.73,0,0,0,0,0
 SULAWESI ,0,2019,3,17,-8.418,116.52,24,5.5,10.73,0,0,0,0,2539
 SULAWESI ,0,2019,4,12,-1.852,122.553,18,6.8,10.73,667,49,105,238,637
 SULAWESI ,0,2019,7,14,-0.529,128.093,10,7.3,10.73,0,0,49,143,469
 SULAWESI ,0,2019,8,2,-7.267,104.825,53,6.9,10.73,2677,50,223,1010,1521
 SULAWESI ,0,2019,9,25,-3.45,128.347,18,6.5,10.73,112,138,226,413,550
 SULAWESI ,0,2019,10,10,-3.65,128.216,54,5,10.73,1,86,86,106,4251
 SULAWESI ,0,2019,11,12,-3.61,128.299,50,5,10.73,0,0,41,977,3923
 MOLUCCAISLANDS:N ,0,2020,3,10,-6.808,106.676,23,5,0.11,0,0,0,0,136
 MOLUCCAISLANDS:N ,0,2020,6,4,2.923,128.248,107,6.4,0.11,3316,227,649,1357,3666
 AMBONISLAND/SERAMISLAND ,1,1674,2,17,-3.75,127.75,40,6.8,100,3737,28,72,486,3952
 AMBONISLAND/SERAMISLAND ,1,1815,11,22,-8,115,150,7,100,854,241,241,809,1103
 SUMBAWAISLAND:BIMA ,1,1818,11,8,-7,117,600,8.5,3.5,583,56,80,171,265
 SULAWESI:MAKASAR ,1,1820,12,29,-7,119,80,7.5,25,796,166,339,938,2338
 JAVA ,1,1823,9,9,-6.5,108.5,150,6.8,0.3,0,0,2,9,27
 JAVA ,1,1833,11,24,-2.5,100.5,75,8.3,0.3,1295,12,21,152,621
 JAVA ,1,1837,9,29,5.5,96,100,7.3,0.3,138,32,96,519,1142
 JAVA ,1,1840,1,4,-8,110.5,150,7,0.3,0,0,0,0,305
 JAVA ,1,1843,1,5,1.5,98,70,7.3,0.3,589,72,72,208,663
 JAVA ,1,1852,1,9,-6.5,105.5,150,6.5,0.3,82,14,14,56,875
 MALUKU:BANDANAIRA ,1,1852,11,25,-5.25,129.75,100,8.3,8,4419,24,59,226,1273
 TIMORISLAND::DILHI/GERA ,1,1857,5,13,-8,115.5,50,7,3.4,1212,34,52,140,1447
 LAGUNDI/SIMUK/TELLOI ,1,1861,2,16,-1,97.5,70,8.5,7,5290,22,82,372,1308
 LAGUNDI/SIMUK/TELLOI ,1,1861,3,9,0.009,98,20,7,7,225,170,207,310,605
 LAGUNDI/SIMUK/TELLOI ,1,1861,4,26,1,97.5,70,7,7,0,0,0,0,216
 BURUISLAND/CERAMSEA ,1,1876,5,28,-3,127.25,50,6.8,0.3,1978,92,152,893,3824
 N.MOLUCCASISLANDS ,1,1889,9,6,1,126.25,70,8,4,1140,239,501,809,2809
 N.MOLUCCASISLANDS ,1,1891,10,5,-9,124,80,7,4,3286,45,89,269,2461
 N.MOLUCCASISLANDS ,1,1892,11,18,-3,127.75,70,7,4,1307,430,688,1663,4468
 N.MOLUCCASISLANDS ,1,1896,10,10,-3.5,102.5,130,6.8,4,0,0,0,0,0
 N.MOLUCCASISLANDS ,1,1897,3,15,-6.8,120.8,15,5.5,4,0,34,141,561,2828
 N.MOLUCCASISLANDS ,1,1900,10,7,-4,140,33,6.9,4,0,0,0,0,0
 TIFU/MASARETE/KAJELI ,1,1903,3,30,-3,127.5,33,6.5,1,1434,319,860,2514,4046
 NWSUMATRA:GUNUNGSITOLi/BARUS ,1,1907,1,4,2,94.5,50,7.8,15,4699,38,88,203,454
 TALAUDISLANDS:KARAKELONGISLAND ,1,1907,3,29,3,122,500,7.3,4,5575,93,93,375,932
 SW.SUMATRA ,1,1908,2,6,-2,100,130,7.5,1.4,1700,67,78,184,1147
 SW.SUMATRA ,1,1909,6,3,-2,101,40,7.6,1.4,0,0,0,0,46
 SW.SUMATRA ,1,1913,3,14,5.354,126.121,15,7.8,1.4,3454,114,292,555,1849
 NEWGUINEA:IRIANJAYA:JAPEN ,1,1914,5,26,-1.829,136.943,15,8.1,0.1,-5,8,49,55,216
 NEWGUINEA:IRIANJAYA:JAPEN ,1,1914,6,25,-3.924,101.82,35,7.6,0.1,647,65,164,489,1003
 JAVA-S.JAVASEA ,1,1930,6,19,-5.6,105.3,33,6,1.5,9,6,11,50,173
 S.JAVASEA ,1,1930,7,19,-9.3,114.3,100,6.5,0.1,3841,41,63,218,771
 S.JAVASEA ,1,1932,9,9,-3.57,128.35,17,6.5,0.1,67,131,193,359,3093
 TALAUDISLANDS ,1,1936,4,1,4.5,126.5,60,7.7,3,3552,126,191,580,3578
 NEWGUINEA ,1,1938,2,1,-5.25,130.5,25,8.5,1,4453,327,641,1821,6118
 NEWGUINEA ,1,1950,10,8,-3.8,128.3,60,7.6,1,3497,1210,1210,2769,4520
